DIVISION_NAME,DISTRICT_NAME,THANA_NAME,TYP,LVL,EIIN,INSTITUTE_NAME_NEW,POST_OFFICE,LOCATION,MOBPHONE
BARISAL,BARGUNA,AMTALI,SCHOOL AND COLLEGE,Higher Secondary ,100116,UTTAR SONAKHALI SCHOOL & COLLEGE,SONAKHALI,UTTAR SONAKHLI,017128792655
BARISAL,BARGUNA,BETAGI,SCHOOL AND COLLEGE,Higher Secondary ,100299,BETAGI  GIRLS  HIGHER   SECONDARY  SCHOOL,BETAGI,07NO   BETAGI,01716447147
BARISAL,BARGUNA,BETAGI,SCHOOL AND COLLEGE,Higher Secondary ,100256,BIBICHINI NIAMITO UNITED HIGH SCHOOL AND COLLEGE,NIAMATI,BIBICHINI,01718720846
BARISAL,BARGUNA,BETAGI,SCHOOL AND COLLEGE,Higher Secondary ,132095,NOORJAHAN IDEAL SCHOOL & AGRICULTURE COLLEGE(SCHOOL SECTION),MOKAMIA,MOKAMIA,
BARISAL,BARISAL,AGAILJHARA,SCHOOL AND COLLEGE,Higher Secondary ,100384,"ADARSHA HIGH SCHOOL AND COLLAGE,MOHONKATHI",BARHAZAR,MOHONKATHI,01711319149
BARISAL,BARISAL,AGAILJHARA,SCHOOL AND COLLEGE,Higher Secondary ,100386,BAGDHA  SECONDARY  SCHOOL  &  COLLEGE,BAGDHA,BAGDHA,01718830009
BARISAL,BARISAL,AGAILJHARA,SCHOOL AND COLLEGE,Higher Secondary ,100387,BAHADURPUR NISHIKANTA GAIN GIRL'S SCHOOL & COLLEGE,BAHADURPUR,BAHADURPUR,01718041337
BARISAL,BARISAL,AGAILJHARA,SCHOOL AND COLLEGE,Higher Secondary ,100362,CHHOYGRAM SECONDARY SCHOOL AND COLLEGE,BARAHAZAR,CHHOYGRAM,01911167671
BARISAL,BARISAL,BABUGANJ,SCHOOL AND COLLEGE,Higher Secondary ,100443,BARISAL CADET COLLEGE,CADET COLLEGE,PRATAPPUR,01715601400
BARISAL,BARISAL,BABUGANJ,SCHOOL AND COLLEGE,Higher Secondary ,100446,CHANDPASHA HIGH SCHOOL AND COLLEGE,LAKHUTIA,BOKSHERCHOR,01716093040
BARISAL,BARISAL,BABUGANJ,SCHOOL AND COLLEGE,Higher Secondary ,100445,"Kaderpur Sonarbangla Higher Secondary School, Babuganj, Barisal",KEDARPUR,SOUTH BHUTER DIYA,01745953168
BARISAL,BARISAL,BABUGANJ,SCHOOL AND COLLEGE,Higher Secondary ,100444,MADDHABPASHA CHANDRADIP HIGH SCHOOL AND COLLEGE,MADHABPASHA,MADHABPASHA,01716682211
BARISAL,BARISAL,BAKERGANJ,SCHOOL AND COLLEGE,Higher Secondary ,100600,BADALPARA HIGH SCHOOL AND COLLEGE,BADAL PARA,BADALPARA,01716020424
BARISAL,BARISAL,BANARI PARA,SCHOOL AND COLLEGE,Higher Secondary ,100661,MASJID BARI SECONDARY SCHOOL AND COLLEGE,MASJID BARI,MASJID BARI,01717612394
BARISAL,BARISAL,BARISAL SADAR (KOTWALI),SCHOOL AND COLLEGE,Higher Secondary ,132091,BARISAL MODEL SCHOOL AND COLLEGE,BARISAL,RAJA BAHADOR,01821530624
BARISAL,BARISAL,BARISAL SADAR (KOTWALI),SCHOOL AND COLLEGE,Higher Secondary ,100751,JAGADISH SARASWAT GIRLS SCHOOL AND COLLEGE,BARISAL,KALIBARI ROAD,01716459423
BARISAL,BARISAL,BARISAL SADAR (KOTWALI),SCHOOL AND COLLEGE,Higher Secondary ,100882,KARNOKATHI G.R. HIGH SCHOOL & COLLEGE,KARNAKATI,KARNO KATHI,01768176840
BARISAL,BARISAL,BARISAL SADAR (KOTWALI),SCHOOL AND COLLEGE,Higher Secondary ,100812,KASHIPUR  GIRLS HIGH SCHOOL & COLLEGE,GANAPARA,GANAPARA,01727456426
BARISAL,BARISAL,BARISAL SADAR (KOTWALI),SCHOOL AND COLLEGE,Higher Secondary ,100880,KASHIPUR  HIGH  SCHOOL  & COLLEGE,KASHIPUR,ICHHAKATI,01712070019
BARISAL,BARISAL,BARISAL SADAR (KOTWALI),SCHOOL AND COLLEGE,Higher Secondary ,100881,TALUKDER  HAT SCHOOL &  COLLEGE,TALUKDER HAT,CATPUR,01712037273
BARISAL,BARISAL,GAURNADI,SCHOOL AND COLLEGE,Higher Secondary ,100707,GOURNADI GIRLS SCHOOL AND COLLEGE,GOURNADI,OCHOR GALATOLI,01712432319
BARISAL,BHOLA,BHOLA SADAR,SCHOOL AND COLLEGE,Higher Secondary ,101214,ALINAGAR HIGH SCHOOL & COLLEGE,ALI NAGAR,ALINAGAR,01756315115
BARISAL,BHOLA,BHOLA SADAR,SCHOOL AND COLLEGE,Higher Secondary ,101215,CHAR ZANGALIA  SCHOOL & COLLEGE,MEDUA,CHAR ZANGALIA,01716083188
BARISAL,BHOLA,BHOLA SADAR,SCHOOL AND COLLEGE,Higher Secondary ,101212,HALIMA KHATUN GIRLS SCHOOL & COLLEGE,PARANGANJ,SAHAMADAR,01727248614
BARISAL,BHOLA,BHOLA SADAR,SCHOOL AND COLLEGE,Higher Secondary ,101213,SHAHID ZIA ADARSHA GIRLS HIGH SCHOOL,BHOLA,"752, ABHWA OFFICE ROAD",01711722973
BARISAL,BHOLA,LALMOHAN,SCHOOL AND COLLEGE,Higher Secondary ,101576,DR: AZAHAR UDDIN SCHOOL AND COLLEGE,GAZARIA,MAHESHDHALI,01711034057
BARISAL,JHALOKATI,JHALOKATI SADAR,SCHOOL AND COLLEGE,Higher Secondary ,101714,SHIRJUG AZIMUNNESSA GIRLS  SCHOOL & COLLEGE,SHIRJUG,SHERJUG,01716855296
BARISAL,JHALOKATI,JHALOKATI SADAR,SCHOOL AND COLLEGE,Higher Secondary ,101672,SYEDA JAMILA KHATUN GIRLS HIGH SCHOOL & COLLEGE,CHATCHAR,CHACHAIR,01712940670
BARISAL,JHALOKATI,KANTHALIA,SCHOOL AND COLLEGE,Higher Secondary ,101788,PASCHIM  CHHITKI SECOUNDERY  SCHOOL & COLLEGE,PASCHIM JHALOKATI,PASCHIM CHHITKI,01712565026
BARISAL,PATUAKHALI,BAUPHAL,SCHOOL AND COLLEGE,Higher Secondary ,101989,DHULIA HIGHER SECONDARY SCHOOL,GHURCHAKATI,GHURCHAKATI,01726455041
